"You have not set a default shipping address.","You have not set a default shipping address."
"You have not set a default billing address.","You have not set a default billing address."
Home,Home
"Go to Home Page","Go to Home Page"
Affiliate,Affiliate
"Return to Affiliate","Return to Affiliate"
Campaign,Campaign
"Lead Details","Lead Details"
"Create New Affiliate Account","Create New Affiliate Account"
Transaction,Transaction
Withdraw,Withdraw
"Affiliate Login","Affiliate Login"
"Manage Account Affiliate","Manage Account Affiliate"
"Add New Account","Add New Account"
"Save Account","Save Account"
"Save and Continue Edit","Save and Continue Edit"
"Delete Account","Delete Account"
"Edit Account '%1'","Edit Account '%1'"
"New Account Affiliate","New Account Affiliate"
General,General
"Group Account","Group Account"
"First Name","First Name"
"Last Name","Last Name"
"Customer Account","Customer Account"
"Customer Acount","Customer Acount"
"Email Address","Email Address"
"EMail Address","EMail Address"
"Tracking Code","Tracking Code"
"Choose Customer","Choose Customer"
"AutoComplete Customer Email that you want choose.","AutoComplete Customer Email that you want choose."
"Refering Website","Refering Website"
"Account Affiliate Information","Account Affiliate Information"
"Payment Details","Payment Details"
"Commission (%)","Commission (%)"
Commission,Commission
"Paypal Email","Paypal Email"
"Skrill Email","Skrill Email"
"skrill Email","skrill Email"
Balance,Balance
"Commission Paid","Commission Paid"
Id,Id
Order,Order
"Customer Email","Customer Email"
"Order Total","Order Total"
"Commission Total","Commission Total"
"Order Status","Order Status"
"Transaction Status","Transaction Status"
"Withdraw Amount","Withdraw Amount"
"Date Request","Date Request"
"Payment Method","Payment Method"
Status,Status
"Affiliate Detail","Affiliate Detail"
"History Transaction","History Transaction"
"History Withdrawal","History Withdrawal"
"Manage Banner Affiliate","Manage Banner Affiliate"
"Add New Banner","Add New Banner"
"Save Banner","Save Banner"
"Delete Banner","Delete Banner"
"New Banner Affiliate","New Banner Affiliate"
Title,Title
"Banner Type","Banner Type"
"Source File","Source File"
"Width (px)","Width (px)"
"Height (px)","Height (px)"
"Rel Nofollow","Rel Nofollow"
Link,Link
"Commission Per Click","Commission Per Click"
"Commission Per Unique Click","Commission Per Unique Click"
"Banner Affiliate Information","Banner Affiliate Information"
"Banner Detail","Banner Detail"
"Banner Report","Banner Report"
"Manage Campaign Affiliate","Manage Campaign Affiliate"
"Add New Campaign","Add New Campaign"
"Save Campaign","Save Campaign"
"Delete Campaign","Delete Campaign"
"Edit Campaign '%1'","Edit Campaign '%1'"
"New Campaign Affiliate","New Campaign Affiliate"
"Pay Per Sale","Pay Per Sale"
"Add Commission","Add Commission"
Conditions,Conditions
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
Name,Name
Description,Description
"Affiliate Groups","Affiliate Groups"
Display,Display
"Active From Date","Active From Date"
"Active To Date","Active To Date"
"Sort Order","Sort Order"
"Store View","Store View"
"Campaign Affiliate Information","Campaign Affiliate Information"
Discounts,Discounts
Apply,Apply
"Base Commission Amount","Base Commission Amount"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Commission Description","Commission Description"
"Number of total order","Number of total order"
"Price of total order","Price of total order"
"Percentage of current order","Percentage of current order"
"Fixed amount","Fixed amount"
"ALL GROUPS","ALL GROUPS"
"Add Price","Add Price"
"Commission - Pay Per Lead","Commission - Pay Per Lead"
"Enable Pay Per Lead  ","Enable Pay Per Lead  "
"Commission for each signup new account ($)","Commission for each signup new account ($)"
"Maximum quantity of signup new account for each Affiliater","Maximum quantity of signup new account for each Affiliater"
"Maximum pay per lead balance for each Affiliater","Maximum pay per lead balance for each Affiliater"
"Maximum new account created from same IP address","Maximum new account created from same IP address"
"Campaign Information","Campaign Information"
"Base Commission","Base Commission"
"Pay Per Lead","Pay Per Lead"
"Conditions Info","Conditions Info"
"Advantage Commission","Advantage Commission"
"Save Group","Save Group"
"Delete Group","Delete Group"
"New Group Affiliate","New Group Affiliate"
"Group Affiliate Information","Group Affiliate Information"
"Pay Per Lead Detail","Pay Per Lead Detail"
"Commission For Each Completed Order","Commission For Each Completed Order"
"PPL Commission","PPL Commission"
"Enable Per Per Lead","Enable Per Per Lead"
"Group Detail","Group Detail"
"Manage Transaction Affiliate","Manage Transaction Affiliate"
"New Transaction Affiliate","New Transaction Affiliate"
"Affiliate Code","Affiliate Code"
"Order Id","Order Id"
"Commision Total","Commision Total"
"Transaction Affiliate Information","Transaction Affiliate Information"
"Transaction Detail","Transaction Detail"
"Manage Withdrawls Affiliate","Manage Withdrawls Affiliate"
"New Payment Affiliate","New Payment Affiliate"
"Withdrawal Information","Withdrawal Information"
"Payment Method Information","Payment Method Information"
"Add New Payment","Add New Payment"
"Pay Request","Pay Request"
Paypal,Paypal
Skrill,Skrill
"Email Affiliate","Email Affiliate"
"EMail Affiliate","EMail Affiliate"
date_request,date_request
"Withdrawal Affiliate Information","Withdrawal Affiliate Information"
"Withdrawal Request","Withdrawal Request"
"Commission Campagins","Commission Campagins"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"We can't save the customer.","We can't save the customer."
"Please make sure your passwords match.","Please make sure your passwords match."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
"Thank you for registering with %1.","Thank you for registering with %1."
"Account Information","Account Information"
"You saved the account information.","You saved the account information."
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Password confirmation doesn't match entered password.","Password confirmation doesn't match entered password."
"The password doesn't match this account.","The password doesn't match this account."
"My Account","My Account"
"Your Information","Your Information"
"Banners & Links","Banners & Links"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email."
"Invalid login or password.","Invalid login or password."
"A login and a password are required.","A login and a password are required."
"You send a request success.","You send a request success."
"You can't send a request.","You can't send a request."
Transactions,Transactions
"Your Withdrawals","Your Withdrawals"
"The Account Affiliate has been deleted.","The Account Affiliate has been deleted."
"We can't find a account affiliate to delete.","We can't find a account affiliate to delete."
"Affiliate Account","Affiliate Account"
"Manage Affiiate Account","Manage Affiiate Account"
"This Affiliate Account no longer exists.","This Affiliate Account no longer exists."
"Edit Affiliate Account","Edit Affiliate Account"
"New Affiliate Account","New Affiliate Account"
"Account Affiliate","Account Affiliate"
Lof_Affiliate,Lof_Affiliate
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"You saved this Account Affiliate.","You saved this Account Affiliate."
"Something went wrong while saving the testimonial.","Something went wrong while saving the testimonial."
"The Banner Affiliate has been deleted.","The Banner Affiliate has been deleted."
"We can't find a banner affiliate to delete.","We can't find a banner affiliate to delete."
"Affiliate Banner","Affiliate Banner"
"Manage Affiiate Banner","Manage Affiiate Banner"
"This Affiliate Banner no longer exists.","This Affiliate Banner no longer exists."
"Edit Affiliate Banner","Edit Affiliate Banner"
"New Affiliate Banner","New Affiliate Banner"
"Banner Affiliate","Banner Affiliate"
"You saved this Banner Affiliate.","You saved this Banner Affiliate."
"Something went wrong while saving the banner.","Something went wrong while saving the banner."
"The Campaign Affiliate has been deleted.","The Campaign Affiliate has been deleted."
"We can't find a campaign affiliate to delete.","We can't find a campaign affiliate to delete."
"Affiliate Campaign","Affiliate Campaign"
"Manage Affiiate Campaign","Manage Affiiate Campaign"
"This Affiliate Campaign no longer exists.","This Affiliate Campaign no longer exists."
"Edit Affiliate Campaign","Edit Affiliate Campaign"
"New Affiliate Campaign","New Affiliate Campaign"
"Campaign Affiliate","Campaign Affiliate"
"You saved this Campaign Affiliate.","You saved this Campaign Affiliate."
"The Group Affiliate has been deleted.","The Group Affiliate has been deleted."
"We can't delete this group.","We can't delete this group."
"We can't find a group affiliate to delete.","We can't find a group affiliate to delete."
"Affiliate Group","Affiliate Group"
"Manage Affiiate Group","Manage Affiiate Group"
"This Affiliate Group no longer exists.","This Affiliate Group no longer exists."
"Edit Affiliate Group","Edit Affiliate Group"
"New Affiliate Group","New Affiliate Group"
"Group Affiliate","Group Affiliate"
"Manage Group Affiliate","Manage Group Affiliate"
"You saved this Group Affiliate.","You saved this Group Affiliate."
"Something went wrong while saving the group.","Something went wrong while saving the group."
Report,Report
"Affiliate Sales","Affiliate Sales"
"The Transaction Affiliate has been deleted.","The Transaction Affiliate has been deleted."
"We can't find a transaction affiliate to delete.","We can't find a transaction affiliate to delete."
"Affiliate Transaction","Affiliate Transaction"
"Manage Affiiate Transaction","Manage Affiiate Transaction"
"This Affiliate Transaction no longer exists.","This Affiliate Transaction no longer exists."
"Edit Affiliate Transaction","Edit Affiliate Transaction"
"New Affiliate Transaction","New Affiliate Transaction"
"Transaction Affiliate","Transaction Affiliate"
"You saved this Transaction Affiliate.","You saved this Transaction Affiliate."
"You payout success.","You payout success."
"You can't payout.","You can't payout."
"Affiliate Withdrawal","Affiliate Withdrawal"
"Manage Affiliate Withdrawal","Manage Affiliate Withdrawal"
"This Affiliate Withdrawal no longer exists.","This Affiliate Withdrawal no longer exists."
"Edit Affiliate Withdrawal","Edit Affiliate Withdrawal"
"New Affiliate Withdrawal","New Affiliate Withdrawal"
"Withdraw Affiliate","Withdraw Affiliate"
"Manage Withdraw Affiliate","Manage Withdraw Affiliate"
"Affiliate Payment","Affiliate Payment"
"Manage Affiiate Payment","Manage Affiiate Payment"
"Affiliate Home","Affiliate Home"
"Affiliate Home ","Affiliate Home "
"% for each order","% for each order"
" number of total order greater than "," number of total order greater than "
" price of total order greater than "," price of total order greater than "
" if"," if"
" for each order"," for each order"
title,title
"Make sure that category content does not reference the block itself.","Make sure that category content does not reference the block itself."
Enabled,Enabled
Disabled,Disabled
"Make sure that content does not reference the block itself.","Make sure that content does not reference the block itself."
Image,Image
Text,Text
Yes,Yes
No,No
"Percent of current cart total","Percent of current cart total"
"Fixed Amount Commission For Whole Cart","Fixed Amount Commission For Whole Cart"
"Allow Guest","Allow Guest"
"Affiliate Member Only","Affiliate Member Only"
Rating,Rating
Poisition,Poisition
"Identify Code","Identify Code"
100%,100%
75%,75%
50%,50%
25%,25%
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Discount value should be 0 or greater."
"Unknown action.","Unknown action."
Pending,Pending
Completed,Completed
"This Product does not valid with Affiliate Rules of Campaign.","This Product does not valid with Affiliate Rules of Campaign."
"This Cart does not valid with Affiliate Rules of Campaign.","This Cart does not valid with Affiliate Rules of Campaign."
commission,commission
"ppl commision","ppl commision"
Edit,Edit
"All Store Views","All Store Views"
"Image Preview","Image Preview"
View,View
Select,Select
Tier,Tier
"Commission Type","Commission Type"
"Commission Value","Commission Value"
"Condition Type","Condition Type"
"Value (Greater Than)","Value (Greater Than)"
Action,Action
"Delete Tier","Delete Tier"
Delete,Delete
ID,ID
"Date Requested","Date Requested"
Amount,Amount
"Payment Type","Payment Type"
"Braintree Id","Braintree Id"
"Go back","Go back"
"Date From :","Date From :"
"Date To :","Date To :"
"Our Campaigns!","Our Campaigns!"
"Commission for each new account: ","Commission for each new account: "
"Commission for each new subcribe: ","Commission for each new subcribe: "
"Maximum quantity of signup new account for each Affiliater: ","Maximum quantity of signup new account for each Affiliater: "
"Maximum pay per lead balance for each Affiliater: ","Maximum pay per lead balance for each Affiliater: "
"Maximum new account created from same IP address: ","Maximum new account created from same IP address: "
"Our Program!","Our Program!"
"PAY PER SALE - commission : ","PAY PER SALE - commission : "
"PAY PER LEAD - commission for each completed order : ","PAY PER LEAD - commission for each completed order : "
"Group is disable","Group is disable"
"Contact Information","Contact Information"
"Change Password","Change Password"
Newsletters,Newsletters
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"My Affiliate Account","My Affiliate Account"
"Balance: ","Balance: "
"Commission by Campaign","Commission by Campaign"
Orders,Orders
Date,Date
"Campaign Code","Campaign Code"
"Price total of Orders","Price total of Orders"
"You have placed no commission.","You have placed no commission."
"Edit Account","Edit Account"
"* Required Fields","* Required Fields"
"Notification Email","Notification Email"
"Change Email","Change Email"
"Change Email and Password","Change Email and Password"
Email,Email
"Current Password","Current Password"
"New Password","New Password"
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm New Password","Confirm New Password"
"Afiliate Information","Afiliate Information"
" Paypal Email"," Paypal Email"
Save,Save
label,label
"Hi ","Hi "
"Payment Information","Payment Information"
"Pay-Per-Lead Program","Pay-Per-Lead Program"
"Signup Account Commission","Signup Account Commission"
"Subscribe Newsletter","Subscribe Newsletter"
"Number Account Signup","Number Account Signup"
"Number Customer Subscribe","Number Customer Subscribe"
"Commission Paid For Signup Account","Commission Paid For Signup Account"
"Commission Paid For Subscribe Newsletter","Commission Paid For Subscribe Newsletter"
"Total Of Number Signup","Total Of Number Signup"
"You have placed no lead details.","You have placed no lead details."
Links,Links
"Create your own personal link","Create your own personal link"
"Choose campaign that you want:","Choose campaign that you want:"
"Please fill in one of the links from our store such as: product URL, category URL or other page's URL into the text box below:","Please fill in one of the links from our store such as: product URL, category URL or other page's URL into the text box below:"
"Get Affiliate Link","Get Affiliate Link"
"Get Link","Get Link"
"Receive a unique affiliate link:","Receive a unique affiliate link:"
"Affiliate Link","Affiliate Link"
"Register link:","Register link:"
"Register Link","Register Link"
Banners,Banners
Type,Type
Size,Size
"Clicks (unique/raw)","Clicks (unique/raw)"
"Commissions (unique/raw)","Commissions (unique/raw)"
Income,Income
"Copy and paste this source code into your website or forum.","Copy and paste this source code into your website or forum."
"You are not affiliation","You are not affiliation"
Login,Login
"Registered Customers","Registered Customers"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
Password,Password
"Forgot Your Password?","Forgot Your Password?"
Register,Register
"New Account","New Account"
"If you have not had an affiliate account yet, please choose Signup to create a new account quickly.","If you have not had an affiliate account yet, please choose Signup to create a new account quickly."
"Create an Account","Create an Account"
"Personal Information","Personal Information"
"Checking Email ...","Checking Email ..."
"Sign-in Information","Sign-in Information"
"Confirm Password","Confirm Password"
"Address Information","Address Information"
Company,Company
"Phone Number","Phone Number"
"Street Address","Street Address"
Address,Address
"Street Address %1","Street Address %1"
City,City
State/Province,State/Province
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Zip/Postal Code"
Country,Country
"Affiliate Information","Affiliate Information"
"Tax ID","Tax ID"
"Braintree Merchant Account Id","Braintree Merchant Account Id"
Back,Back
"Campaign code","Campaign code"
"You have placed no transactions.","You have placed no transactions."
"Withdrawal History","Withdrawal History"
"My Balance:","My Balance:"
"Request Amount","Request Amount"
"General Settings","General Settings"
"Email Sender","Email Sender"
"Withdrawal Min","Withdrawal Min"
"Withdrawal limits","Withdrawal limits"
"Auto create Affiliate account when customer register","Auto create Affiliate account when customer register"
"Affiliate URL","Affiliate URL"
Parameter,Parameter
Value,Value
"Campaign URL","Campaign URL"
"Email Settings","Email Settings"
"Add New Account Affiliate","Add New Account Affiliate"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
Disable,Disable
Enable,Enable
Website,Website
"Affiliate Since","Affiliate Since"
"Add New Banner Affiliate","Add New Banner Affiliate"
width,width
height,height
"Create Time","Create Time"
"To Date","To Date"
"From Date","From Date"
"Date Added","Date Added"
"Add New Group Affiliate","Add New Group Affiliate"
"Commission - Pay per sale","Commission - Pay per sale"
"Commission - Pay per lead","Commission - Pay per lead"
"Grand Total (Base)","Grand Total (Base)"
"Affiliate Email","Affiliate Email"
Withdrawals,Withdrawals
Settings,Settings
Logout,Logout
SignUp,SignUp
"Edit Affiliate Account Information","Edit Affiliate Account Information"
"My Dashboard","My Dashboard"
"Link Affiliate","Link Affiliate"
Account,Account
"Your Transaction","Your Transaction"
"Create an account","Create an account"
"You are signed out.","You are signed out."
